,id,carat,cut,color,clarity,depth,table,x,y,z,price
1545,1545,1.2,Ideal,H,SI1,61.5,56.0,6.86,6.81,4.2,5758
6311,6311,1.04,Good,D,VS1,57.6,61.0,6.68,6.64,3.85,7948
2683,2683,0.41,Premium,D,SI2,62.4,59.0,4.77,4.74,2.96,876
9567,9567,1.04,Very Good,H,SI2,59.7,59.0,6.64,6.59,3.94,4642
6181,6181,1.0,Fair,H,SI2,64.4,58.0,6.29,6.17,4.04,2970
1025,1025,0.9,Fair,D,SI1,65.2,57.0,6.04,6.1,4.01,3373
5112,5112,1.23,Ideal,F,VS2,62.8,57.0,6.84,6.79,4.28,5407
8563,8563,2.21,Fair,D,SI2,65.4,58.0,8.15,8.12,5.18,12776
5368,5368,1.5,Premium,H,VS2,62.4,60.0,7.27,7.22,4.52,8319
2354,2354,1.05,Ideal,H,SI1,61.8,54.0,6.5,6.56,4.04,5291
7278,7278,0.41,Ideal,D,SI2,62.4,56.0,4.77,4.76,2.97,876
3602,3602,0.41,Ideal,E,VVS2,61.6,57.0,4.78,4.79,2.95,1235
773,773,0.52,Ideal,F,SI1,60.7,56.4,5.2,5.23,3.17,1391
6773,6773,1.0,Good,E,SI2,63.8,57.0,6.32,6.35,4.04,3449
8810,8810,0.33,Ideal,F,SI2,60.9,57.0,4.5,4.52,2.74,572
3382,3382,0.52,Ideal,H,VVS1,62.4,57.0,5.12,5.14,3.2,1596
641,641,0.41,Very Good,F,VS1,62.8,57.0,4.69,4.72,2.96,1007
4233,4233,0.71,Ideal,H,VS1,62.2,57.0,5.68,5.72,3.55,2651
3815,3815,0.3,Very Good,E,VVS2,62.3,56.0,4.26,4.28,2.66,731
4104,4104,1.51,Fair,G,SI1,65.0,58.0,6.95,6.89,4.51,8362
8530,8530,0.34,Ideal,G,VVS1,61.0,56.0,4.5,4.54,2.75,984
1108,1108,1.5,Premium,D,I1,61.5,62.0,7.39,7.28,4.5,6300
3527,3527,0.32,Ideal,F,VS2,61.9,56.0,4.4,4.44,2.74,645
3495,3495,0.76,Premium,F,SI1,59.7,58.0,5.97,5.95,3.56,3047
1420,1420,0.33,Very Good,H,SI1,62.5,59.0,4.41,4.39,2.75,539
6923,6923,1.54,Ideal,I,SI1,62.9,57.0,7.31,7.37,4.61,8860
3881,3881,1.08,Ideal,H,VS2,62.8,55.0,6.58,6.52,4.11,5316
8353,8353,1.01,Ideal,G,VS1,61.1,57.0,6.47,6.43,3.94,6272
6245,6245,0.53,Very Good,E,VS1,62.2,59.0,5.16,5.21,3.22,1949
4938,4938,0.36,Ideal,E,VS1,61.7,56.0,4.59,4.55,2.82,1092
6798,6798,0.32,Ideal,F,VS2,61.2,55.0,4.4,4.44,2.71,645
7812,7812,1.53,Premium,F,VS2,61.2,60.0,7.46,7.38,4.54,13560
1680,1680,0.31,Premium,G,SI2,61.5,58.0,4.34,4.35,2.67,523
6715,6715,0.57,Ideal,G,VS1,62.9,57.0,5.29,5.25,3.32,2040
633,633,0.7,Premium,E,SI1,62.4,58.0,5.67,5.63,3.53,2038
2569,2569,0.9,Ideal,H,VS1,61.8,57.0,6.17,6.23,3.83,4136
7359,7359,1.01,Good,E,SI1,63.8,56.0,6.32,6.39,4.06,5450
2166,2166,0.34,Premium,H,VS2,60.3,60.0,4.56,4.53,2.74,689
8169,8169,2.04,Very Good,J,VS1,62.8,60.0,8.03,8.06,5.05,16353
8846,8846,0.41,Ideal,J,VS1,62.3,54.4,4.76,4.79,2.97,830
2825,2825,0.7,Ideal,F,SI1,61.5,57.0,5.69,5.74,3.52,2709
4087,4087,0.54,Ideal,E,SI1,61.7,55.0,5.24,5.26,3.24,1746
6243,6243,0.42,Premium,E,VS1,61.5,59.0,4.8,4.83,2.97,1105
8364,8364,0.92,Premium,G,SI2,61.4,59.0,6.27,6.25,3.84,3394
3941,3941,1.01,Premium,F,SI1,62.7,60.0,6.4,6.34,4.0,4679
9180,9180,0.51,Ideal,E,SI1,62.3,57.0,5.13,5.09,3.19,1356
8075,8075,1.23,Premium,I,SI1,60.8,58.0,6.92,6.94,4.21,5551
9196,9196,0.36,Premium,H,VS2,61.6,60.0,4.53,4.56,2.8,568
4128,4128,1.07,Ideal,H,SI1,61.6,57.0,6.56,6.52,4.03,4613
1172,1172,0.33,Ideal,G,VS1,61.3,55.0,4.48,4.45,2.74,729
9081,9081,0.54,Premium,D,VS2,60.9,58.0,5.24,5.19,3.19,1842
4222,4222,0.9,Good,H,VS1,62.6,62.0,6.01,6.08,3.79,4155
4834,4834,1.07,Premium,G,SI2,62.2,56.0,6.56,6.52,4.08,3992
2576,2576,0.3,Ideal,G,VS2,61.6,56.0,4.34,4.3,2.66,675
1989,1989,1.08,Ideal,D,SI1,62.6,56.0,6.57,6.5,4.09,5777
6973,6973,0.9,Premium,F,SI2,61.6,59.0,6.2,6.14,3.8,3676
5836,5836,2.02,Premium,H,SI1,61.1,59.0,8.17,8.08,4.97,16589
4532,4532,2.06,Ideal,I,VS2,61.4,57.0,8.13,8.2,5.02,15007
3209,3209,0.51,Ideal,D,SI1,61.0,56.0,5.17,5.14,3.15,1662
3855,3855,0.32,Very Good,D,SI1,60.8,62.0,4.4,4.43,2.69,532
2628,2628,1.04,Ideal,E,VS2,61.6,57.0,6.51,6.47,4.0,6776
7803,7803,1.51,Very Good,D,SI1,61.0,59.0,7.4,7.34,4.5,11595
1410,1410,1.51,Premium,E,SI2,62.9,58.0,7.27,7.22,4.55,9411
8257,8257,0.7,Premium,G,VS2,61.0,57.0,5.78,5.74,3.51,2035
7386,7386,0.3,Ideal,H,VS2,61.5,57.0,4.36,4.33,2.67,630
4303,4303,0.31,Ideal,G,VVS1,61.4,56.0,4.38,4.4,2.7,789
6750,6750,1.8,Premium,I,SI1,61.9,58.0,7.78,7.74,4.79,10913
6555,6555,0.3,Ideal,G,IF,62.3,55.0,4.31,4.32,2.69,865
815,815,1.01,Premium,G,SI1,62.7,58.0,6.39,6.31,3.98,4719
2404,2404,0.31,Ideal,D,VS2,62.7,57.0,4.36,4.33,2.72,942
5397,5397,1.52,Very Good,I,VS2,61.9,58.0,7.35,7.43,4.58,8954
9957,9957,2.2,Ideal,J,SI1,61.1,55.0,8.36,8.41,5.13,14860
2131,2131,0.31,Premium,F,VS2,61.5,59.0,4.35,4.37,2.68,625
1797,1797,0.5,Premium,D,VS2,61.0,59.0,5.13,5.1,3.12,1845
3090,3090,0.9,Premium,F,SI2,61.3,55.0,6.23,6.27,3.83,3238
4184,4184,0.39,Ideal,E,VVS2,62.4,56.0,4.68,4.63,2.91,1060
4564,4564,0.3,Premium,D,VS2,59.8,60.0,4.36,4.38,2.6,734
5030,5030,0.72,Ideal,D,SI2,61.2,58.0,5.79,5.83,3.56,2671
8048,8048,1.19,Premium,H,VS1,62.4,58.0,6.79,6.73,4.22,7277
122,122,1.52,Premium,G,VS1,61.7,58.0,7.36,7.38,4.55,13324
179,179,0.7,Very Good,F,SI1,62.8,58.0,5.64,5.67,3.55,2688
9251,9251,0.78,Ideal,F,SI1,61.1,56.0,5.93,5.97,3.64,3166
8095,8095,0.51,Ideal,E,VS2,61.7,56.0,5.13,5.09,3.16,1582
6429,6429,0.32,Very Good,I,VVS2,63.0,56.0,4.34,4.37,2.75,587
9738,9738,0.55,Very Good,H,SI1,62.9,54.0,5.25,5.27,3.31,1270
4992,4992,1.24,Ideal,E,VVS2,62.3,57.0,6.85,6.88,4.27,11431
1157,1157,2.01,Premium,G,SI2,62.1,58.0,8.05,7.97,4.98,16857
9004,9004,0.28,Ideal,I,VVS2,62.0,53.0,4.2,4.23,2.61,532
1532,1532,1.2,Fair,H,SI1,65.2,55.0,6.65,6.59,4.32,5869
8993,8993,0.56,Ideal,G,VS1,62.2,53.0,5.28,5.34,3.3,1942
7859,7859,0.72,Ideal,H,SI1,62.6,56.0,5.71,5.73,3.58,2327
9174,9174,0.34,Ideal,I,SI1,61.6,55.0,4.5,4.56,2.79,445
1535,1535,1.5,Ideal,D,SI1,61.5,56.0,7.31,7.34,4.5,14112
9260,9260,0.4,Ideal,F,VVS1,61.0,57.0,4.76,4.82,2.92,1207
5517,5517,1.01,Very Good,F,SI1,60.1,58.0,6.51,6.54,3.92,4906
2605,2605,0.35,Ideal,F,VS2,61.8,55.0,4.52,4.54,2.8,906
6127,6127,0.76,Ideal,E,VS2,61.9,56.0,5.87,5.84,3.63,3235
9142,9142,0.38,Premium,E,VS2,61.6,58.0,4.66,4.64,2.86,753
7458,7458,0.52,Premium,H,VS2,61.2,59.0,5.18,5.14,3.16,1238
2177,2177,1.7,Premium,H,VS2,61.8,59.0,7.61,7.54,4.69,13134
7990,7990,1.01,Premium,G,VS2,61.1,60.0,6.48,6.44,3.95,6653
2351,2351,0.53,Ideal,G,VS1,61.1,57.0,5.24,5.28,3.2,1858
9178,9178,0.7,Premium,E,VS1,62.0,60.0,5.68,5.65,3.52,2968
3502,3502,0.59,Ideal,D,SI2,61.5,57.0,5.38,5.42,3.31,1577
2134,2134,0.7,Ideal,E,SI1,61.4,57.0,5.75,5.73,3.52,2878
1480,1480,2.0,Premium,I,VS2,60.3,59.0,8.14,8.08,4.91,16547
2793,2793,0.5,Very Good,G,VVS1,62.0,56.0,5.08,5.12,3.16,1966
4843,4843,0.38,Ideal,E,VVS1,61.1,56.0,4.69,4.73,2.88,1314
9781,9781,0.78,Fair,F,VS2,54.7,67.0,6.25,6.15,3.34,2762
9935,9935,0.56,Ideal,D,IF,61.2,57.0,5.34,5.31,3.26,2214
4762,4762,0.73,Ideal,E,SI1,62.0,55.0,5.77,5.8,3.6,2596
7191,7191,0.34,Premium,E,SI2,59.3,59.0,4.55,4.54,2.69,477
6041,6041,1.52,Premium,D,SI1,60.4,62.0,7.46,7.41,4.48,12000
9752,9752,1.06,Ideal,H,SI1,61.9,55.0,6.52,6.55,4.05,4798
3445,3445,0.79,Ideal,D,SI1,62.5,57.0,5.89,5.92,3.68,3142
8149,8149,0.51,Ideal,D,VS2,61.5,57.0,5.15,5.18,3.17,1787
7765,7765,0.53,Ideal,E,VS2,61.1,56.0,5.24,5.2,3.2,1684
3620,3620,1.02,Very Good,D,SI1,61.8,56.0,6.5,6.47,4.01,5921
1952,1952,1.27,Ideal,J,VS2,62.6,55.0,6.92,6.87,4.32,7334
555,555,0.5,Ideal,H,SI1,62.0,55.0,5.1,5.13,3.17,1111
4264,4264,0.36,Very Good,E,VS2,61.6,56.0,4.59,4.62,2.83,631
1163,1163,2.31,Ideal,H,SI2,62.8,57.0,8.43,8.35,5.3,13597
1584,1584,1.2,Premium,I,VS2,62.5,57.6,6.8,6.77,4.24,5001
6151,6151,1.02,Good,E,SI2,63.3,56.0,6.29,6.41,4.02,4229
9851,9851,0.73,Ideal,F,VS1,62.1,57.0,5.77,5.74,3.58,3053
5837,5837,0.57,Ideal,F,VS2,61.2,56.0,5.38,5.4,3.3,1851
5261,5261,2.07,Very Good,I,VS1,59.4,60.0,8.36,8.21,4.91,18127
5239,5239,0.73,Very Good,F,SI2,63.3,57.0,5.76,5.7,3.62,2351
7913,7913,0.71,Ideal,H,SI2,62.3,56.0,5.68,5.71,3.55,1899
9648,9648,1.05,Premium,H,VS2,62.3,59.0,6.5,6.45,4.04,5370
1598,1598,0.78,Ideal,G,VS2,61.6,57.0,5.87,5.91,3.62,3138
7182,7182,0.5,Ideal,E,VS2,62.5,57.0,5.14,5.11,3.2,1746
300,300,0.5,Premium,G,VS1,61.3,60.0,5.11,5.07,3.12,1746
9661,9661,1.16,Ideal,D,VS2,61.1,55.0,6.77,6.83,4.16,11116
6947,6947,0.72,Premium,E,SI2,61.1,59.0,5.75,5.73,3.51,2383
3794,3794,0.23,Very Good,F,VVS2,65.0,56.0,3.89,3.92,2.53,465
4572,4572,1.2,Ideal,E,SI1,61.1,56.0,6.86,6.83,4.19,7392
4335,4335,0.51,Very Good,F,VS1,60.5,58.0,5.17,5.22,3.14,1778
2858,2858,0.33,Ideal,D,VS2,61.6,55.0,4.46,4.44,2.74,848
5694,5694,1.02,Ideal,D,SI2,62.0,57.0,6.44,6.51,4.0,5628
3142,3142,0.54,Ideal,D,VS2,62.0,57.0,5.23,5.19,3.23,1941
1359,1359,1.02,Very Good,H,SI1,64.1,56.0,6.35,6.38,4.08,4404
4533,4533,1.25,Ideal,G,IF,62.1,56.0,6.94,6.9,4.3,11667
9750,9750,0.57,Ideal,G,VS1,61.7,55.0,5.33,5.37,3.3,1667
5687,5687,1.09,Ideal,E,SI1,61.5,55.0,6.62,6.67,4.08,5913
486,486,0.71,Premium,G,SI1,60.9,59.0,5.75,5.82,3.52,2496
7836,7836,0.54,Ideal,G,VS2,62.3,54.0,5.19,5.22,3.25,1637
9854,9854,1.13,Ideal,F,SI1,62.8,54.0,6.68,6.71,4.21,7091
5900,5900,0.54,Ideal,H,SI1,61.2,56.0,5.25,5.21,3.21,1173
8116,8116,1.7,Ideal,I,VS1,60.4,57.0,7.64,7.7,4.63,10681
7362,7362,1.52,Premium,F,VVS2,61.7,59.0,7.3,7.37,4.53,17267
1152,1152,1.17,Good,F,VS2,63.7,55.0,6.73,6.69,4.28,6798
5382,5382,0.32,Very Good,G,VVS1,63.0,55.0,4.39,4.36,2.76,814
9742,9742,1.12,Ideal,E,VVS2,60.4,56.0,6.77,6.73,4.07,10221
5424,5424,0.37,Ideal,E,VS1,60.6,56.0,4.63,4.64,2.81,834
9536,9536,1.09,Ideal,H,SI1,62.0,54.0,6.62,6.66,4.12,4652
5186,5186,0.71,Very Good,E,SI1,59.9,59.0,5.74,5.79,3.45,2759
8409,8409,0.9,Very Good,E,SI1,62.0,63.0,6.24,6.19,3.85,4392
6189,6189,0.41,Ideal,J,VS1,61.9,56.0,4.74,4.78,2.95,718
9703,9703,0.52,Very Good,E,VS2,62.5,56.0,5.13,5.16,3.21,1699
8269,8269,1.25,Ideal,I,VS1,61.8,56.0,6.9,6.95,4.28,6488
5314,5314,1.35,Premium,H,VVS2,62.7,59.0,7.03,6.95,4.39,9188
9904,9904,0.41,Ideal,H,VVS2,62.2,57.0,4.78,4.79,2.98,877
665,665,0.58,Ideal,F,VS1,61.1,56.0,5.39,5.42,3.3,1800
3353,3353,1.21,Very Good,I,SI1,61.9,56.0,6.77,6.81,4.23,5688
8852,8852,0.32,Premium,H,SI2,61.5,58.0,4.39,4.41,2.7,450
8061,8061,1.37,Premium,J,SI1,60.6,60.0,7.14,7.2,4.34,5176
642,642,0.31,Ideal,H,VVS2,62.5,57.0,4.27,4.29,2.68,625
9243,9243,0.32,Ideal,G,VS2,61.6,57.0,4.4,4.42,2.71,689
176,176,0.56,Premium,J,VS2,61.8,60.0,5.35,5.28,3.28,1280
6431,6431,0.55,Ideal,G,VS2,60.8,56.0,5.37,5.33,3.25,1550
9911,9911,1.64,Very Good,H,VS2,62.4,59.9,7.51,7.49,4.68,12369
3438,3438,1.2,Ideal,I,VS2,62.4,54.0,6.78,6.83,4.25,6530
786,786,0.77,Very Good,H,SI2,61.9,58.0,5.83,5.89,3.62,2280
6391,6391,1.08,Premium,E,SI1,62.7,59.0,6.56,6.59,4.12,5597
9066,9066,0.56,Ideal,E,VVS2,61.7,56.0,5.3,5.33,3.28,2526
9928,9928,2.03,Premium,I,VS1,60.9,59.0,8.22,8.1,4.97,17515
3202,3202,0.53,Ideal,E,VS1,62.5,57.0,5.15,5.18,3.23,1744
4803,4803,0.82,Ideal,F,VS1,61.9,57.0,5.97,6.04,3.72,4221
7835,7835,0.9,Very Good,D,SI2,62.1,59.0,6.11,6.14,3.79,3480
7940,7940,0.44,Premium,D,VS1,60.6,58.0,4.93,4.88,2.97,1294
91,91,1.48,Very Good,I,SI2,62.3,62.0,7.17,7.23,4.49,7270
5762,5762,1.01,Ideal,D,SI2,60.4,57.0,6.51,6.54,3.94,4977
9028,9028,0.71,Premium,G,VS1,59.5,60.0,5.81,5.79,3.45,2802
9505,9505,1.04,Very Good,G,VS1,62.0,58.0,6.45,6.56,4.04,6777
8237,8237,1.02,Very Good,H,SI1,63.0,57.0,6.37,6.41,4.03,4932
1971,1971,0.43,Premium,F,VVS2,60.6,58.0,4.88,4.84,2.95,1263
2905,2905,0.9,Premium,H,SI2,62.0,59.0,6.25,6.18,3.85,3146
530,530,0.3,Very Good,F,VS2,62.9,59.0,4.25,4.28,2.68,605
3635,3635,1.5,Good,F,VS2,64.0,56.0,7.18,7.27,4.62,13153
996,996,1.0,Ideal,D,SI1,61.9,55.0,6.39,6.41,3.96,6040
5852,5852,0.26,Ideal,E,VS2,62.9,55.0,4.02,4.06,2.54,480
4226,4226,0.72,Very Good,G,VS2,62.4,58.0,5.67,5.71,3.55,2570
5616,5616,1.51,Premium,I,VS2,62.8,61.0,7.31,7.26,4.59,9193
2312,2312,0.26,Premium,F,VVS1,60.4,59.0,4.12,4.17,2.51,684
2154,2154,0.52,Ideal,G,VS1,61.2,57.0,5.17,5.2,3.16,1689
5317,5317,2.05,Ideal,I,VS2,61.5,56.0,8.16,8.2,5.03,15151
1427,1427,0.7,Ideal,G,VS2,61.3,57.0,5.71,5.75,3.51,2825
8631,8631,1.51,Very Good,E,SI2,62.9,59.0,7.26,7.31,4.58,10412
6032,6032,0.52,Premium,H,VS1,61.8,58.0,5.15,5.09,3.16,1626
4415,4415,0.52,Ideal,J,VS1,62.1,58.0,5.09,5.14,3.18,1134
8819,8819,1.7,Ideal,G,VS2,62.2,55.0,7.63,7.67,4.76,14833
3085,3085,0.4,Ideal,E,VVS2,61.5,57.0,4.75,4.73,2.91,1112
7798,7798,0.77,Very Good,H,SI1,61.9,60.0,5.83,5.87,3.63,2202
9154,9154,0.35,Ideal,E,VS1,61.6,55.0,4.53,4.57,2.8,781
8209,8209,0.32,Premium,G,VS2,60.8,59.0,4.42,4.46,2.7,561
9574,9574,0.33,Ideal,F,VVS1,61.1,57.0,4.46,4.49,2.74,830
9535,9535,1.01,Ideal,H,VS1,62.6,57.0,6.37,6.43,4.01,6229
495,495,0.4,Ideal,D,VVS1,61.9,57.0,4.71,4.75,2.92,1130
3749,3749,0.24,Ideal,H,VS1,61.6,54.0,3.99,4.01,2.48,419
2321,2321,0.52,Very Good,E,VS2,62.0,54.0,5.16,5.23,3.22,1621
4267,4267,1.01,Ideal,D,SI2,59.5,57.0,6.54,6.49,3.87,5057
3405,3405,0.71,Very Good,E,VS2,61.4,59.0,5.73,5.71,3.51,2891
151,151,0.71,Very Good,G,SI2,62.5,59.0,5.68,5.72,3.56,2081
7369,7369,1.01,Ideal,F,VS2,62.4,57.0,6.38,6.43,3.99,6763
694,694,0.31,Ideal,G,IF,62.0,55.0,4.3,4.34,2.68,871
4417,4417,1.21,Ideal,E,SI1,62.6,56.0,6.77,6.82,4.25,10222
5697,5697,1.5,Premium,I,VS2,60.2,59.0,7.3,7.36,4.41,9399
1738,1738,1.12,Premium,G,SI2,62.3,57.0,6.65,6.6,4.13,4956
3001,3001,0.38,Premium,G,VS1,62.4,58.0,4.7,4.69,2.93,977
167,167,0.56,Premium,G,SI1,60.4,58.0,5.36,5.32,3.24,1207
6111,6111,0.72,Ideal,I,VS1,61.9,55.0,5.77,5.79,3.58,2074
4622,4622,0.71,Very Good,J,SI2,63.2,60.0,5.65,5.61,3.54,1408
2865,2865,0.77,Premium,F,VS2,62.4,60.0,5.84,5.79,3.63,2858
8545,8545,1.04,Ideal,G,VS2,62.1,56.0,6.52,6.49,4.04,6944
4702,4702,1.51,Premium,G,VVS2,62.5,58.0,7.31,7.33,4.57,17235
2883,2883,0.73,Ideal,E,VS2,61.6,56.0,5.8,5.83,3.58,2720
3031,3031,0.73,Ideal,E,SI1,62.4,55.0,5.82,5.78,3.61,2844
8183,8183,1.02,Ideal,D,SI1,62.2,56.0,6.45,6.49,4.02,5834
8534,8534,0.33,Very Good,E,VVS2,61.6,56.0,4.44,4.48,2.74,849
9926,9926,2.21,Premium,I,SI2,61.6,58.0,8.37,8.33,5.13,12224
5681,5681,0.71,Ideal,H,VS1,62.1,55.0,5.71,5.74,3.55,2600
7209,7209,1.01,Premium,E,SI1,60.3,58.0,6.55,6.51,3.94,5935
5991,5991,1.11,Very Good,I,VS2,62.2,58.0,6.61,6.64,4.12,5521
2276,2276,0.41,Ideal,G,IF,61.5,57.0,4.78,4.81,2.95,1367
7132,7132,0.41,Ideal,J,VS1,61.3,57.0,4.81,4.78,2.94,784
5705,5705,0.32,Ideal,F,VS2,62.3,55.0,4.42,4.39,2.74,828
7998,7998,0.23,Very Good,H,VVS1,60.9,58.0,3.95,3.98,2.42,504
5292,5292,1.37,Premium,I,VS1,61.0,60.0,7.2,7.16,4.38,8524
4304,4304,0.4,Ideal,F,VVS2,62.1,56.0,4.71,4.73,2.93,998
7445,7445,0.7,Good,E,VVS2,61.4,61.0,5.65,5.72,3.48,3437
428,428,0.3,Good,G,VS1,63.6,56.0,4.24,4.27,2.7,605
7068,7068,0.37,Ideal,E,VS1,62.7,57.0,4.55,4.59,2.86,899
6364,6364,1.04,Very Good,H,SI1,63.1,61.0,6.46,6.4,4.06,5047
4215,4215,0.41,Very Good,G,SI2,61.6,58.0,4.68,4.72,2.9,766
426,426,0.32,Premium,J,VS1,61.0,59.0,4.41,4.4,2.69,574
2223,2223,1.01,Premium,D,SI1,60.5,60.0,6.53,6.51,3.95,4969
100,100,1.61,Premium,F,SI1,61.2,59.0,7.5,7.54,4.61,11234
9245,9245,2.01,Very Good,I,VS1,61.9,58.0,8.08,8.13,5.01,17569
3307,3307,0.39,Premium,G,VS2,61.5,58.0,4.67,4.7,2.88,761
2762,2762,1.51,Very Good,I,SI1,62.3,63.0,7.29,7.27,4.53,9225
5857,5857,1.21,Ideal,G,VS1,62.1,56.0,6.79,6.87,4.24,8674
4738,4738,0.55,Ideal,E,VS2,62.4,55.0,5.25,5.29,3.29,1755
7092,7092,0.42,Premium,D,VS2,61.1,58.0,4.81,4.83,2.94,825
9633,9633,0.42,Ideal,E,VS2,60.7,57.0,4.79,4.83,2.93,849
3286,3286,0.51,Very Good,D,VS2,61.9,59.0,5.13,5.1,3.16,1654
7712,7712,1.51,Ideal,F,VS2,60.8,57.0,7.43,7.36,4.5,14482
7868,7868,0.3,Very Good,G,SI1,62.0,55.0,4.3,4.34,2.68,461
6067,6067,2.01,Premium,I,SI1,62.3,58.0,8.03,7.97,5.01,11364
9236,9236,2.05,Premium,I,SI1,62.1,58.0,8.22,8.12,5.07,16960
3577,3577,0.43,Ideal,D,VS2,62.4,55.0,4.84,4.85,3.02,934
1465,1465,1.02,Premium,H,SI1,62.8,58.0,6.45,6.34,4.0,4246
7675,7675,1.08,Ideal,G,VS2,61.4,57.0,6.65,6.61,4.08,6041
2234,2234,0.56,Ideal,E,SI1,60.5,57.0,5.29,5.32,3.22,1778
1744,1744,1.04,Premium,H,SI2,62.6,59.0,6.42,6.46,4.03,4452
9755,9755,0.33,Ideal,G,SI1,62.1,55.0,4.45,4.43,2.76,493
6094,6094,0.31,Ideal,J,VS1,61.4,54.0,4.34,4.39,2.68,439
8782,8782,1.26,Ideal,I,SI1,62.6,57.0,6.89,6.91,4.32,5976
9402,9402,0.3,Ideal,F,VS2,62.1,53.6,4.27,4.31,2.67,601
8371,8371,0.35,Very Good,E,VS1,62.9,58.0,4.48,4.53,2.83,891
5027,5027,1.03,Very Good,D,SI2,61.2,59.0,6.52,6.49,3.97,4580
9235,9235,0.39,Very Good,G,VS1,60.0,61.0,4.73,4.77,2.84,741
3944,3944,0.54,Ideal,G,VS2,62.1,56.0,5.21,5.2,3.23,1580
6862,6862,0.53,Ideal,D,SI1,61.0,55.0,5.24,5.26,3.2,1729
5350,5350,1.01,Ideal,E,SI2,62.6,56.0,6.46,6.42,4.04,4920
9423,9423,0.32,Ideal,F,VS1,60.8,56.0,4.42,4.47,2.7,827
2121,2121,0.57,Ideal,F,VS1,61.6,56.0,5.36,5.32,3.3,1984
4972,4972,2.01,Very Good,J,SI1,61.6,60.0,8.1,8.14,5.01,11726
9005,9005,0.72,Ideal,F,VS1,62.8,54.0,5.72,5.74,3.59,2960
3784,3784,0.72,Ideal,D,VS2,61.3,56.0,5.76,5.79,3.54,3921
6872,6872,1.0,Very Good,F,VS1,62.2,59.0,6.34,6.4,3.96,7372
916,916,1.71,Premium,H,SI1,61.9,59.0,7.67,7.63,4.72,11567
8550,8550,0.7,Good,F,SI1,64.0,59.0,5.56,5.62,3.59,2436
7252,7252,0.67,Very Good,G,VVS2,61.5,57.4,5.62,5.65,3.46,2756
8012,8012,0.31,Ideal,I,VS1,62.4,57.0,4.38,4.36,2.72,628
5821,5821,0.38,Ideal,G,VS2,62.2,54.2,4.65,4.67,2.89,746
4403,4403,0.5,Ideal,D,VS2,62.3,57.0,5.11,5.06,3.17,1806
4863,4863,1.04,Very Good,E,SI1,62.6,56.0,6.49,6.46,4.05,5598
8516,8516,1.2,Very Good,H,SI1,62.6,60.0,6.7,6.75,4.21,5219
5422,5422,0.91,Very Good,H,SI2,60.2,61.0,6.31,6.33,3.8,3299
7733,7733,0.37,Premium,E,VS2,62.4,58.0,4.63,4.6,2.88,1041
